2025-06-11 18:04:46,195 - neuroevo_rank_0 - INFO - Starting WANN experiment on rank 0
2025-06-11 18:04:46,460 - neuroevo_rank_0 - INFO - Generation 0: Best=9.778, Time=0.26s
2025-06-11 18:04:46,708 - neuroevo_rank_0 - INFO - Generation 1: Best=9.833, Time=0.25s
2025-06-11 18:04:46,970 - neuroevo_rank_0 - INFO - Generation 2: Best=9.556, Time=0.26s
2025-06-11 18:04:47,215 - neuroevo_rank_0 - INFO - Generation 3: Best=9.833, Time=0.24s
2025-06-11 18:04:47,483 - neuroevo_rank_0 - INFO - Generation 4: Best=23.222, Time=0.27s
2025-06-11 18:04:47,836 - neuroevo_rank_0 - INFO - Generation 5: Best=24.833, Time=0.35s
2025-06-11 18:04:48,403 - neuroevo_rank_0 - INFO - Generation 6: Best=25.556, Time=0.57s
2025-06-11 18:04:49,152 - neuroevo_rank_0 - INFO - Generation 7: Best=51.722, Time=0.75s
2025-06-11 18:04:50,668 - neuroevo_rank_0 - INFO - Generation 8: Best=94.889, Time=1.51s
2025-06-11 18:04:52,977 - neuroevo_rank_0 - INFO - Generation 9: Best=88.389, Time=2.31s
2025-06-11 18:04:54,803 - neuroevo_rank_0 - INFO - Generation 10: Best=72.889, Time=1.83s
2025-06-11 18:04:57,019 - neuroevo_rank_0 - INFO - Generation 11: Best=104.000, Time=2.21s
2025-06-11 18:04:59,910 - neuroevo_rank_0 - INFO - Generation 12: Best=116.056, Time=2.89s
2025-06-11 18:05:03,809 - neuroevo_rank_0 - INFO - Generation 13: Best=118.278, Time=3.90s
2025-06-11 18:05:08,598 - neuroevo_rank_0 - INFO - Generation 14: Best=157.222, Time=4.79s
2025-06-11 18:05:13,957 - neuroevo_rank_0 - INFO - Generation 15: Best=219.500, Time=5.36s
2025-06-11 18:05:19,780 - neuroevo_rank_0 - INFO - Generation 16: Best=239.500, Time=5.82s
2025-06-11 18:05:28,359 - neuroevo_rank_0 - INFO - Generation 17: Best=246.333, Time=8.58s
2025-06-11 18:05:36,875 - neuroevo_rank_0 - INFO - Generation 18: Best=251.056, Time=8.51s
2025-06-11 18:05:45,101 - neuroevo_rank_0 - INFO - Generation 19: Best=241.833, Time=8.23s
2025-06-11 18:05:53,417 - neuroevo_rank_0 - INFO - Generation 20: Best=255.278, Time=8.31s
2025-06-11 18:06:02,094 - neuroevo_rank_0 - INFO - Generation 21: Best=255.000, Time=8.68s
2025-06-11 18:06:11,801 - neuroevo_rank_0 - INFO - Generation 22: Best=255.778, Time=9.71s
2025-06-11 18:06:22,662 - neuroevo_rank_0 - INFO - Generation 23: Best=256.056, Time=10.86s
